id,address,bedrooms,bathrooms,monthly_price,ber,category,daft_link,agent_name,has_video,has_virtual_tour,total_images,dublin_subcode
3916914,"Quayside Quarter, Dublin Landings, North Wall Quay, Dublin 1",1.0,1.0,2615,A3,Rent,http://www.daft.ie/for-rent/apartment-1-bedroom-apartment-quayside-quarter-dublin-landings-north-wall-quay-dublin-1/3916914,Cian Hynes,False,True,12,1.0
3916952,"Quayside Quarter, Dublin Landings, North Wall Quay, Dublin 1",2.0,2.0,3355,A3,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-apartment-quayside-quarter-dublin-landings-north-wall-quay-dublin-1/3916952,Cian Hynes,False,True,17,1.0
3917034,"Quayside Quarter, Dublin Landings, North Wall Quay, Dublin 1",3.0,3.0,4805,A3,Rent,http://www.daft.ie/for-rent/apartment-e2-602-3-bed-duplex-quayside-quarter-dublin-landings-north-wall-quay-dublin-1/3917034,Cian Hynes,False,False,18,1.0
5705486,"Niche Living, Serviced Studio Apartments, Ardee Road, Rathmines, Dublin 6",1.0,,1990,A3,Rent,http://www.daft.ie/for-rent/studio-apartment-serviced-studio-apartments-niche-living-serviced-studio-apartments-ardee-road-rathmines-dublin-6/5705486,Niche Living enquiries Rathmines,False,False,22,6.0
5987932,"O'Neill Court , Main Street, Belmayne, Dublin 13",1.0,1.0,1950,A1,Rent,http://www.daft.ie/for-rent/apartment-1-bed-oneill-court-main-street-belmayne-dublin-13/5987932,O'Neill Court,False,True,8,13.0
5987931,"O'Neill Court , Main Street, Belmayne, Dublin 13",2.0,2.0,2350,A1,Rent,http://www.daft.ie/for-rent/apartment-2-bed-oneill-court-main-street-belmayne-dublin-13/5987931,O'Neill Court,False,True,13,13.0
5899685,"Occu Hayfield, Churchview Road, Killiney, Co. Dublin",1.0,1.0,2000,A2,Rent,http://www.daft.ie/for-rent/apartment-1-bed-apartment-occu-hayfield-churchview-road-killiney-co-dublin/5899685,Occu Leasing Team,False,False,15,
5900743,"Occu Hayfield, Churchview Road, Killiney, Co. Dublin",2.0,2.0,2400,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-apartment-occu-hayfield-churchview-road-killiney-co-dublin/5900743,Occu Leasing Team,False,False,21,
5900759,"Occu Hayfield, Churchview Road, Killiney, Co. Dublin",3.0,2.0,3300,A2,Rent,http://www.daft.ie/for-rent/apartment-3-bedroom-apartment-occu-hayfield-churchview-road-killiney-co-dublin/5900759,Occu Leasing Team,False,False,18,
6160915,"Alta Verde, Cross Avenue, Blackrock, Co. Dublin",1.0,,2250,A3,Rent,http://www.daft.ie/for-rent/studio-apartment-studio-alta-verde-cross-avenue-blackrock-co-dublin/6160915,Alta Verde,False,False,5,
